cityName,stateName,slope,inter,homePriceMean,amplitude,shift,fitError,marketRank,rankedGrowth
Chattanooga,Tennessee,2492.199,187788.685,324859.633,38.22316492,-1.925305549,0.881428919,1,2.207454223
Tempe,Arizona,1533.376,112892.762,197228.4404,68.01332622,-1.785248906,0.690103881,1,1.358180999
Murfreesboro,Tennessee,1229.386,211256.269,278872.4771,88.81411125,-2.052734748,0.833369474,2,0.639456851
Rancho Cucamonga,California,366.639,315652.294,335817.4312,27.31816134,-1.918141615,0.80103645,3,0.135015965
Cape Coral,Florida,1120.717,407584.404,469223.8532,86.79518639,-1.086457366,0.752850896,4,0.339981067
Savannah,Georgia,1396.081,109602.701,186387.156,40.49000297,-2.300464708,0.843315893,1,1.236572561
Fredericksburg,Virginia,1550.631,164407.034,249691.7431,56.10497179,-1.970434778,0.752779526,1,1.373464539
Killeen,Texas,609.019,171092.049,204588.0734,24.07308725,-1.7326071,0.9571044,1,0.539435881
Palmdale,California,938.755,65785.882,117417.4312,34.93385432,-1.592000998,0.739916799,1,0.831498082
Roanoke,Virginia,875.405,89888.532,138035.7798,43.67615148,-1.566285794,0.918369127,1,0.775386101
Newport News,Virginia,742.816,165490.979,206345.8716,28.89175444,-1.79658151,0.864041184,1,0.657945981
El Cajon,California,2214.921,156694.037,278514.6789,23.41384728,-1.532441413,0.822196688,1,1.961856463
Clarksville,Tennessee,1406.444,179674.006,257028.4404,60.8866096,-2.109451404,0.882904319,1,1.245751542
Elk Grove,California,750.189,404499.235,445759.633,38.91948572,-1.776591569,0.675315762,4,0.227577575
Peoria,Arizona,2505.287,181639.501,319430.2752,67.95983363,-1.291050052,0.681435412,1,2.219046861
Sugar Land,Texas,1330.149,116816.106,189974.3119,48.24774623,-2.429002373,0.771389885,1,1.178173584
Naperville,Illinois,969.566,156783.028,210109.1743,96.56473008,-2.400035264,0.711757221,1,0.858788789
Fairfax,Virginia,1246.365,158563.66,227113.7615,64.99926633,-1.819322527,0.580976744,1,1.103962277
Boynton Beach,Florida,1565.961,188311.57,274439.4495,61.5806793,-1.476956802,0.825351401,1,1.387043018
McKinney,Texas,2620.134,279227.472,423334.8624,84.98147388,-2.135723328,0.71269775,2,1.36284506
Edmond,Oklahoma,862.02,33065.036,80476.14679,77.57495517,-2.115660902,0.739751102,1,0.763530396
Lakeland,Florida,10156.106,494852.701,1.05E+06,23.48738698,-1.442583595,0.940664929,4,3.080959558
Pueblo,Colorado,802.757,147588.736,191740.367,40.40209456,-2.166693502,0.823391397,1,0.711038456
Odessa,Texas,642.185,28271.56,63591.74312,23.26465376,-1.764762231,0.79421956,1,0.568812519
Henrico,Virginia,1459.623,201524.414,281803.6697,55.712762,-1.930205499,0.72643553,2,0.759213076
Lakewood,Colorado,589.584,108702.243,141129.3578,56.84685813,-2.294850843,0.700185918,1,0.522221416
Cumming,Georgia,426.699,140713.201,164181.6514,82.51140526,-2.178676596,0.793940781,1,0.377946749
Alexandria,Virginia,613.816,92263.048,126022.9358,75.7360347,-1.88901746,0.695622089,1,0.543684803
Tyler,Texas,535.215,169638.379,199075.2294,28.48852466,-1.995090297,0.740925433,1,0.474064315
Pomona,California,1145.894,65110.703,128134.8624,12.66461146,-1.965464408,0.886228048,1,1.014970534
Visalia,California,2728.89,189494.546,339583.4862,28.12634369,-1.931692355,0.779626278,1,2.417102228
Cypress,Texas,752.458,160536.85,201922.0183,65.35303897,-1.996833471,0.759627439,1,0.66648634
Round Rock,Texas,2095.137,197709.684,312942.2018,67.47480169,-2.271813452,0.673053238,1,1.855758316
Ann Arbor,Michigan,2937.951,490942.966,652530.2752,71.02899859,-2.251258228,0.579433034,4,0.891257753
Whittier,California,1022.474,94160.245,150396.3303,18.64015535,-2.236599126,0.808054295,1,0.905651816
Kansas City,Kansas,2800.68,353843.323,507880.7339,27.7032212,-1.949133873,0.865213326,3,1.031359217
Sunnyvale,California,2626.879,140668.451,285146.789,22.81864071,-1.803024509,0.674094662,1,2.326746437
Las Cruces,New Mexico,3496.225,167361.774,359654.1284,21.12058185,-1.649306803,0.912792205,1,3.096765805
Conroe,Texas,2324.449,165751.631,293596.3303,35.13509191,-2.2923107,0.827479909,1,2.058870404
Lansing,Michigan,1534.297,115193.476,199579.8165,41.70327265,-2.168514269,0.779194375,1,1.358996771
South Bend,Indiana,1035.592,163460.805,220418.3486,48.08638703,-2.737263717,0.791341452,1,0.917271026
Cary,North Carolina,1910.143,115546.738,220604.5872,71.91130572,-1.924626449,0.626406325,1,1.6919007
Pasadena,Texas,2147.409,148123.7,266231.1927,15.31417275,-1.613133134,0.888426721,1,1.902058008
Beaumont,Texas,3724.522,222814.577,427663.3028,14.84366458,-2.026923054,0.926433219,2,1.937285042
Yuma,Arizona,263.586,114879.817,129377.0642,12.80649308,-0.766913499,0.956238814,1,0.233470132
Columbia,Missouri,3793.255,336772.834,545401.8349,81.23804659,-1.755790706,0.578230108,3,1.396878082
Bridgeport,Connecticut,1472.205,137097.554,218068.8073,9.832642089,-2.114087985,0.911762793,1,1.303999057
